Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
T_int [ms],60 * 1000.000,60 * 1000.000,60 * 1000.000,1 * 777.700,4 * 161.840,4 * 117.080,5 * 88.760,5 * 73.490,5 * 60.970,5 * 52.890,8 * 45.900,8 * 40.860,8 * 36.850,8 * 33.380,8 * 31.550,8 * 28.790,8 * 26.880,8 * 25.060,8 * 23.330,8 * 22.120,8 * 20.690,8 * 19.870,8 * 19.430
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
409,0.00000E+00,0.00000E+00,3.79282E-09,4.68190E-07,4.94252E-07,1.04720E-06,3.41850E-07,2.70226E-07,0.00000E+00,2.14730E-06,4.53546E-06,6.23903E-06,2.28865E-06,5.94934E-06,5.21924E-06,3.66950E-06,8.57070E-06,1.16419E-05,8.92318E-06,6.20356E-06,1.03584E-05,1.36491E-05,1.10301E-05
410,0.00000E+00,0.00000E+00,0.00000E+00,3.68341E-07,7.57763E-07,9.02962E-07,1.36917E-06,4.78510E-07,1.21018E-06,4.30078E-06,5.27806E-06,7.56043E-06,2.60325E-06,9.36472E-06,5.44949E-06,3.94277E-06,9.84484E-06,1.41122E-05,1.00121E-05,7.36020E-06,7.31458E-06,1.13298E-05,1.18098E-05
411,0.00000E+00,0.00000E+00,0.00000E+00,1.00575E-06,1.34482E-06,1.06395E-06,3.73850E-06,6.68590E-07,3.30438E-06,8.19739E-06,6.24004E-06,7.44800E-06,5.83581E-06,1.15245E-05,5.96350E-06,8.32292E-06,1.03111E-05,1.14052E-05,1.12609E-05,9.49910E-06,7.10904E-07,1.08795E-05,1.17359E-05
412,0.00000E+00,0.00000E+00,0.00000E+00,5.19266E-07,1.30914E-06,2.25878E-06,3.46063E-06,1.89979E-06,2.95587E-06,6.41255E-06,6.92973E-06,7.12601E-06,8.92763E-06,1.04874E-05,4.94313E-06,7.97597E-06,1.16238E-05,1.32469E-05,1.11993E-05,1.02063E-05,5.66034E-06,1.52913E-05,1.82711E-05
413,0.00000E+00,0.00000E+00,0.00000E+00,1.95116E-07,1.23461E-06,3.32612E-06,3.02065E-06,3.27908E-06,3.21159E-06,5.06245E-06,7.90085E-06,7.12792E-06,1.11608E-05,9.62550E-06,5.36347E-06,8.71195E-06,1.25155E-05,1.51470E-05,1.14142E-05,1.11328E-05,1.17264E-05,1.95160E-05,2.33981E-05
414,0.00000E+00,0.00000E+00,0.00000E+00,6.95332E-07,1.24904E-06,3.83846E-06,2.95184E-06,4.98456E-06,6.18762E-06,6.76973E-06,9.97105E-06,8.14516E-06,1.12803E-05,1.02314E-05,1.06973E-05,1.44926E-05,1.19742E-05,1.59010E-05,1.29250E-05,1.33695E-05,1.81152E-05,2.21902E-05,2.28652E-05
415,0.00000E+00,0.00000E+00,0.00000E+00,6.22785E-07,2.14702E-06,3.79451E-06,3.39720E-06,6.29626E-06,8.14185E-06,7.80411E-06,1.23927E-05,9.48275E-06,1.35157E-05,1.23136E-05,1.53057E-05,1.71852E-05,1.21384E-05,1.78593E-05,1.66786E-05,2.00763E-05,2.13885E-05,2.57457E-05,2.39599E-05
416,0.00000E+00,0.00000E+00,0.00000E+00,1.50074E-07,3.67024E-06,3.36170E-06,4.20522E-06,7.34650E-06,9.40338E-06,8.37925E-06,1.50834E-05,1.10565E-05,1.72480E-05,1.54453E-05,1.94553E-05,1.77513E-05,1.27943E-05,2.06751E-05,2.20332E-05,2.99680E-05,2.25218E-05,2.99497E-05,2.61975E-05
417,0.00000E+00,0.00000E+00,0.00000E+00,8.37437E-07,4.83039E-06,5.26221E-06,7.51324E-06,9.48165E-06,1.00460E-05,1.21102E-05,1.34363E-05,1.45843E-05,2.01014E-05,1.78035E-05,2.14047E-05,2.36944E-05,2.03535E-05,2.79095E-05,2.57380E-05,3.33106E-05,2.57502E-05,3.22506E-05,3.09711E-05
418,0.00000E+00,0.00000E+00,0.00000E+00,1.47885E-06,5.47676E-06,7.12184E-06,1.00219E-05,1.11805E-05,1.15963E-05,1.56294E-05,1.39201E-05,1.86964E-05,2.31748E-05,2.02722E-05,2.38782E-05,3.02869E-05,2.84870E-05,3.45959E-05,3.00918E-05,3.70366E-05,3.07369E-05,3.63365E-05,3.75292E-05
419,0.00000E+00,0.00000E+00,0.00000E+00,1.76058E-06,4.85475E-06,8.40134E-06,9.92498E-06,1.15199E-05,1.56917E-05,1.79656E-05,2.09509E-05,2.39891E-05,2.70563E-05,2.32291E-05,2.82341E-05,3.75337E-05,3.67765E-05,3.89860E-05,3.65675E-05,4.32206E-05,3.99774E-05,4.55853E-05,4.83381E-05
420,0.00000E+00,0.00000E+00,0.00000E+00,1.87129E-06,7.01273E-06,1.01488E-05,1.20724E-05,1.39628E-05,1.88118E-05,2.26388E-05,2.59496E-05,2.82347E-05,3.29697E-05,3.02958E-05,3.52399E-05,4.10592E-05,4.28714E-05,4.60817E-05,4.55932E-05,5.19031E-05,5.39853E-05,5.41508E-05,5.77879E-05
421,0.00000E+00,0.00000E+00,0.00000E+00,1.87950E-06,1.07845E-05,1.21464E-05,1.55192E-05,1.76169E-05,2.13021E-05,2.86224E-05,2.96568E-05,3.17919E-05,3.99947E-05,3.96836E-05,4.37040E-05,4.23313E-05,4.75691E-05,5.46755E-05,5.59841E-05,6.19321E-05,7.05803E-05,6.21750E-05,6.62793E-05
422,0.00000E+00,0.00000E+00,0.00000E+00,2.04483E-06,1.24378E-05,1.57501E-05,1.94191E-05,2.33125E-05,2.63098E-05,3.44561E-05,3.41932E-05,3.94070E-05,4.63515E-05,4.89901E-05,5.38632E-05,5.87256E-05,5.77755E-05,6.93333E-05,6.86831E-05,7.58077E-05,7.94150E-05,8.00325E-05,7.98392E-05
423,0.00000E+00,0.00000E+00,1.94218E-09,2.34589E-06,1.42027E-05,1.94243E-05,2.36033E-05,2.90160E-05,3.21533E-05,4.14531E-05,4.08444E-05,4.80879E-05,5.50725E-05,5.84924E-05,6.41728E-05,7.35015E-05,7.11852E-05,8.46023E-05,8.27541E-05,9.03954E-05,9.25403E-05,9.81345E-05,9.74491E-05
