Lv [cd/sqm] (CIE1931 2°),1.318E-06,5.364E-04,4.363E-08,1.544E+00,6.347E+00,8.763E+00,1.140E+01,1.390E+01,1.642E+01,1.931E+01,2.182E+01,2.431E+01,2.711E+01,2.964E+01,3.224E+01,3.495E+01,3.761E+01,4.018E+01,4.294E+01,4.543E+01,4.788E+01,5.041E+01,5.100E+01
Le [W/(sr*sqm)] (380-780nm),1.733E-08,1.742E-06,4.211E-08,1.236E-02,5.328E-02,7.222E-02,9.288E-02,1.126E-01,1.325E-01,1.553E-01,1.749E-01,1.947E-01,2.168E-01,2.366E-01,2.573E-01,2.784E-01,2.993E-01,3.195E-01,3.410E-01,3.606E-01,3.802E-01,3.997E-01,4.026E-01
CCT [K] (CIE1964 10°),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWl [nm] (CIE1964 10°),649.2,493.0,419.2,480.3,479.3,479.7,479.9,480.0,480.1,480.2,480.3,480.3,480.3,480.4,480.4,480.4,480.4,480.5,480.5,480.5,480.5,480.5,480.7
,,,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord. (CIE1964 10°),,,,,,,,,,,,,,,,,,,,,,,
406,0.00000E+00,0.00000E+00,0.00000E+00,1.30647E-09,0.00000E+00,1.08684E-07,3.90191E-08,0.00000E+00,0.00000E+00,8.77474E-09,3.00407E-08,3.21545E-07,6.28728E-07,1.41123E-07,7.48866E-08,0.00000E+00,0.00000E+00,1.83729E-07,3.70265E-06,2.26975E-07,0.00000E+00,0.00000E+00,4.40792E-06
407,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.73471E-07,6.34699E-08,3.71679E-08,7.08722E-07,0.00000E+00,1.14019E-07,1.32563E-06,1.57643E-06,7.32495E-08,8.52692E-08,1.51797E-06,9.80108E-08,9.53642E-08,1.91209E-06,1.07393E-07,0.00000E+00,2.56528E-07,3.69737E-06
408,0.00000E+00,0.00000E+00,0.00000E+00,1.68755E-09,0.00000E+00,3.78125E-07,1.06087E-07,8.74224E-08,1.18460E-06,0.00000E+00,2.03512E-07,2.37327E-06,2.65671E-06,0.00000E+00,1.42524E-07,2.88161E-06,1.63821E-07,2.07202E-07,3.64428E-07,0.00000E+00,0.00000E+00,5.45178E-07,2.85003E-06
409,0.00000E+00,0.00000E+00,0.00000E+00,9.92944E-09,0.00000E+00,1.15357E-07,3.23647E-08,1.67805E-07,3.61393E-07,0.00000E+00,1.34246E-07,1.60293E-06,3.97508E-06,0.00000E+00,4.34807E-08,2.80046E-06,4.99779E-08,1.21917E-06,2.14428E-06,0.00000E+00,0.00000E+00,8.15717E-07,3.62656E-06
410,0.00000E+00,0.00000E+00,0.00000E+00,8.90228E-09,0.00000E+00,4.40027E-08,0.00000E+00,6.75664E-07,2.58473E-07,2.91509E-08,6.82324E-08,8.31070E-07,3.47867E-06,0.00000E+00,0.00000E+00,2.75467E-06,0.00000E+00,2.75100E-06,1.92246E-06,0.00000E+00,2.31289E-06,6.14056E-07,3.95286E-06
411,0.00000E+00,0.00000E+00,0.00000E+00,8.65212E-10,0.00000E+00,1.20149E-07,0.00000E+00,1.49346E-06,7.05756E-07,7.95961E-08,6.63150E-09,8.07717E-08,1.61868E-06,0.00000E+00,0.00000E+00,2.73743E-06,0.00000E+00,4.63324E-06,1.86844E-07,0.00000E+00,6.31530E-06,5.96801E-08,3.92813E-06
412,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,5.09508E-08,5.70355E-08,0.00000E+00,7.02802E-07,9.16220E-07,3.77849E-08,0.00000E+00,2.09826E-06,1.72383E-06,1.36357E-07,7.45873E-08,1.29376E-06,1.71465E-07,3.48043E-06,1.68604E-06,0.00000E+00,4.08139E-06,3.14149E-06,3.31355E-06
413,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.04127E-07,1.66225E-08,6.99541E-09,1.63860E-08,9.43665E-07,1.10121E-08,5.40371E-07,3.46718E-06,1.98979E-06,4.84841E-07,1.14840E-07,1.20258E-07,4.80048E-07,2.04996E-06,2.83200E-06,7.55685E-08,2.13235E-06,5.43061E-06,2.41593E-06
414,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.55676E-07,8.60507E-08,3.62137E-08,8.48267E-08,5.12122E-07,5.70069E-08,2.79738E-06,2.16104E-06,2.07305E-06,1.48393E-06,3.32888E-08,3.48593E-08,1.19496E-06,5.94225E-07,1.97445E-06,3.91201E-07,2.88642E-06,4.47575E-06,7.00308E-07
415,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.78425E-07,7.40621E-08,2.32221E-07,1.12254E-07,2.17522E-07,4.90647E-08,3.09990E-06,2.15375E-06,2.46416E-06,1.22481E-06,0.00000E+00,0.00000E+00,1.99750E-06,1.07146E-06,1.05172E-06,2.08628E-06,3.04900E-06,4.27066E-06,1.42058E-06
416,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.52080E-07,5.17549E-09,5.46565E-07,1.11366E-07,1.52005E-08,3.42866E-09,2.04265E-06,3.05151E-06,3.07370E-06,8.55904E-08,0.00000E+00,0.00000E+00,2.86942E-06,2.90117E-06,7.34946E-08,4.76082E-06,2.80050E-06,4.58539E-06,3.84648E-06
417,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.03871E-07,2.08985E-08,7.24845E-07,4.87838E-08,0.00000E+00,0.00000E+00,2.28246E-06,2.04936E-06,1.77150E-06,2.26808E-06,7.08940E-08,5.93909E-07,2.91617E-06,2.59737E-06,2.31480E-06,3.50492E-06,3.48492E-06,3.51317E-06,2.72462E-06
418,0.00000E+00,0.00000E+00,1.79656E-09,1.25759E-08,1.87586E-08,3.10415E-08,8.97060E-07,0.00000E+00,2.67472E-07,2.41327E-08,2.40126E-06,1.19639E-06,8.85527E-07,3.61362E-06,6.81980E-07,1.42134E-06,2.77584E-06,1.97774E-06,4.31768E-06,2.44490E-06,3.66439E-06,3.05404E-06,1.42411E-06
419,0.00000E+00,0.00000E+00,8.35710E-09,5.84997E-08,8.72600E-08,8.51176E-09,1.08484E-06,0.00000E+00,1.24421E-06,1.12259E-07,1.92428E-06,1.12899E-06,1.49115E-06,2.06222E-06,2.71143E-06,2.75003E-06,2.31560E-06,9.71475E-07,5.03352E-06,2.72442E-06,2.31445E-06,4.49912E-06,3.90498E-07
420,0.00000E+00,0.00000E+00,6.71267E-09,4.69887E-08,7.00897E-08,5.94569E-07,7.33063E-07,4.19602E-07,1.35657E-06,1.97594E-07,1.57081E-06,1.90530E-06,2.22290E-06,2.54857E-06,3.43822E-06,3.55069E-06,1.90637E-06,5.84517E-07,3.86146E-06,3.16613E-06,1.11785E-06,3.67703E-06,1.79094E-06
421,0.00000E+00,0.00000E+00,2.28870E-10,1.60209E-09,2.38973E-09,1.53081E-06,6.83370E-08,1.08033E-06,9.53715E-07,2.79656E-07,1.29936E-06,3.16871E-06,3.01623E-06,4.23853E-06,3.37808E-06,4.02358E-06,1.53747E-06,5.74294E-07,1.59419E-06,3.69761E-06,3.81132E-08,1.52682E-06,4.61106E-06
